"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.822115926E0,-1.594209969E-1,-1.951400004E-2,1.143309996E-1
1.827126378E0,-1.793799996E-1,-2.608999982E-2,3.345099837E-2
1.832137068E0,-1.739840060E-1,-1.563500054E-2,-4.265999887E-3
1.837147531E0,-1.909669936E-1,-8.479000069E-3,-5.873500183E-2
1.842158068E0,-1.800149977E-1,-3.946400061E-2,-1.418589950E-1
1.847168536E0,-1.139850020E-1,-3.311700001E-2,-2.130970061E-1
1.852178998E0,-5.269899964E-2,-1.678599976E-2,-2.486229986E-1
1.857189702E0,-5.334499851E-2,-2.199899964E-2,-1.718100011E-1
1.862200166E0,1.090000034E-3,-5.801000167E-3,-1.309709996E-1
1.867210688E0,6.521300226E-2,-2.121400088E-2,-1.382160038E-1
1.872221152E0,9.789899737E-2,-2.769800089E-2,-9.066399932E-2
1.877231832E0,1.138750017E-1,-4.765599966E-2,-3.605199978E-2
1.882242296E0,7.826399803E-2,-7.543499768E-2,5.198400095E-2
1.887252842E0,3.994899988E-2,-3.122100048E-2,1.041430011E-1
1.892263306E0,1.087499969E-2,-2.969500050E-2,1.541090012E-1
1.897273996E0,2.115000039E-3,-3.620700166E-2,1.826020032E-1
1.902284460E0,2.748999977E-3,-7.143000141E-3,1.943369955E-1
1.907294996E0,2.702100016E-2,8.972999640E-3,1.271349937E-1
1.912305460E0,8.329799771E-2,-1.395000028E-3,6.711699814E-2
